Outcome,Subgroup,k,MD_kg,CI_lb,CI_ub,p,I2,tau2,PI_lb,PI_ub
Lean,Overall (HKSJ-REML primary),5,-2.487,-4.446,-0.527,0.0244,85.3,2.11,-6.971,1.997
Lean,Overall (DL sensitivity),5,-2.486,-3.964,-1.009,0.001,87,2.429,-5.88,0.907
Lean,Obesity,2,-3.952,-10.097,2.193,0.0775,13.3,0.063,NA,NA
Lean,T2D,3,-1.527,-4.377,1.323,0.1477,73.3,1.001,-6.69,3.636
Lean,Mono GLP-1 RA,4,-1.996,-4.115,0.123,0.0578,79.1,1.399,-6.315,2.323
Fat,Overall (HKSJ-REML primary),5,-5.287,-10.783,0.208,0.0557,94.6,18.132,-18.325,7.75
Fat,Overall (DL sensitivity),5,-5.267,-8.813,-1.721,0.0036,93.5,15.066,-13.661,3.126
Fat,Obesity,2,-9.652,-43.387,24.083,0.1709,85.8,12.093,NA,NA
Fat,T2D,3,-2.433,-6.39,1.523,0.1181,71.8,1.95,-9.627,4.761
Lean,Expanded k=6 (+S-LiTE),6,-2.551,-4.053,-1.049,0.0072,81.2,1.673,-6.199,1.097
Lean,Expanded k=7 (+S-LiTE+BARI),7,-2.637,-3.876,-1.397,0.002,77.6,1.422,-5.807,0.533
Fat,Expanded k=6 (+S-LiTE),6,-5.154,-9.324,-0.984,0.0246,92.8,14.31,-15.734,5.427
Fat,Expanded k=7 (+S-LiTE+BARI),7,-5.091,-8.445,-1.737,0.0099,91.1,11.667,-14.097,3.915
Lean,"Bayesian brms HC(0,1)",5,-2.444,-4.165,-0.587,0.9862,NA,NA,NA,NA
Fat,"Bayesian brms HC(0,1)",5,-5.074,-9.395,-0.671,0.9854,NA,NA,NA,NA
Lean,"Bayesian bayesmeta HC(0,1)",5,-2.465,-4.133,-0.796,0.9935,NA,2.541,NA,NA
Fat,"Bayesian bayesmeta HC(0,1)",5,-5.016,-9.28,-0.75,0.9842,NA,19.438,NA,NA
